Node	Time	EnergyCarrier	Demand
5	1	Electricity	20
5	2	Electricity	20
5	3	Electricity	20
6	1	Electricity	20
6	2	Electricity	20
6	3	Electricity	20
7	1	Electricity	20
7	2	Electricity	20
7	3	Electricity	20
8	1	Electricity	20
8	2	Electricity	20
8	3	Electricity	20
9	1	Electricity	20
9	2	Electricity	20
9	3	Electricity	20
10	1	Electricity	20
10	2	Electricity	20
10	3	Electricity	20
11	1	Electricity	20
11	2	Electricity	20
11	3	Electricity	20
12	1	Electricity	20
12	2	Electricity	20
12	3	Electricity	20
13	1	Electricity	20
13	2	Electricity	20
13	3	Electricity	20
14	1	Electricity	20
14	2	Electricity	20
14	3	Electricity	20
15	1	Electricity	20
15	2	Electricity	20
15	3	Electricity	20
16	1	Electricity	20
16	2	Electricity	20
16	3	Electricity	20
17	1	Electricity	20
17	2	Electricity	20
17	3	Electricity	20
18	1	Electricity	20
18	2	Electricity	20
18	3	Electricity	20
19	1	Electricity	20
19	2	Electricity	20
19	3	Electricity	20
20	1	Electricity	20
20	2	Electricity	20
20	3	Electricity	20
5	1	LT	5
5	2	LT	5
5	3	LT	5
6	1	LT	5
6	2	LT	5
6	3	LT	5
7	1	LT	5
7	2	LT	5
7	3	LT	5
8	1	LT	5
8	2	LT	5
8	3	LT	5
9	1	LT	5
9	2	LT	5
9	3	LT	5
10	1	LT	5
10	2	LT	5
10	3	LT	5
11	1	LT	5
11	2	LT	5
11	3	LT	5
12	1	LT	5
12	2	LT	5
12	3	LT	5
13	1	LT	5
13	2	LT	5
13	3	LT	5
14	1	LT	5
14	2	LT	5
14	3	LT	5
15	1	LT	5
15	2	LT	5
15	3	LT	5
16	1	LT	5
16	2	LT	5
16	3	LT	5
17	1	LT	5
17	2	LT	5
17	3	LT	5
18	1	LT	5
18	2	LT	5
18	3	LT	5
19	1	LT	5
19	2	LT	5
19	3	LT	5
20	1	LT	5
20	2	LT	5
20	3	LT	5
5	1	MT	5
5	2	MT	5
5	3	MT	5
6	1	MT	5
6	2	MT	5
6	3	MT	5
7	1	MT	5
7	2	MT	5
7	3	MT	5
8	1	MT	5
8	2	MT	5
8	3	MT	5
9	1	MT	5
9	2	MT	5
9	3	MT	5
10	1	MT	5
10	2	MT	5
10	3	MT	5
11	1	MT	5
11	2	MT	5
11	3	MT	5
12	1	MT	5
